﻿link,id,question,enabled
https://afiqket.github.io/capstone-charts/?chart=countries_where_armed_conflict_happened_in_2024,70,"Based on the map view, which regions seem to have more orange countries in recent years?",0
https://afiqket.github.io/capstone-charts/?chart=countries_where_armed_conflict_happened_in_2024,71,How can I get information of whether Australia has conflict or the opposite on year 1989,0
https://afiqket.github.io/capstone-charts/?chart=countries_where_armed_conflict_happened_in_2024,72,What happens if I click the Line button?,0
https://afiqket.github.io/capstone-charts/?chart=interstate_and_intrastate_war_2010,73,What does the blue color represent on the map?,0
https://afiqket.github.io/capstone-charts/?chart=interstate_and_intrastate_war_2010,74,How can I get the information of countries marked as “Yes” in 2010?,0
https://afiqket.github.io/capstone-charts/?chart=interstate_and_intrastate_war_2010,75,What happens if I hover over a country marked in orange?,0
https://observablehq.com/d/65c10cfa93cada0a,76,Which death rate is higher for Iraq between 2014 and 2024?,0
https://observablehq.com/d/65c10cfa93cada0a,77,How can I find the range of the death rate numbers based on the map?,0
https://observablehq.com/d/65c10cfa93cada0a,78,What happens if I hover over the white colored country on the map and what death rate value will appear?,0
https://observablehq.com/d/a2975a8c512f9051,79,What is the average death number occurs in Ukraine in year 2024?,0
https://observablehq.com/d/a2975a8c512f9051,80,What happen if I move the slider at the bottom of the line chart?,0
https://observablehq.com/d/a2975a8c512f9051,81,How can I get the data of Ethiopia in year 2000 the line chart?,0
https://observablehq.com/d/53d7741e44dea574,82,How many deaths occur in Colombia in 2011?,0
https://observablehq.com/d/53d7741e44dea574,83,How can I check the number of deaths occur in Iraq between year 2014 and 2017 in line chart?,0
https://observablehq.com/d/53d7741e44dea574,84,What happens if I click the play button besides the slider of the map chart?,0
https://observablehq.com/@n93986/forms-of-homelessness-included-in-available-statis,85,"Which homelessness status can see more on the map the ""None of temporary"" or ""None or inadequate""?",0
https://observablehq.com/@n93986/forms-of-homelessness-included-in-available-statis,86,How can I get the information of the status of homelessness people in Madagascar?,0
https://observablehq.com/@n93986/forms-of-homelessness-included-in-available-statis,87,What happen if I hover at the country labeled with orange color?,0
https://observablehq.com/@n93986/profit-margin,88,What is the average profit margin of the developed countries?,0
https://observablehq.com/@n93986/profit-margin,89,How can I identify which country is developed or emerging,0
https://observablehq.com/@n93986/profit-margin,90,What happen if I hover the United State bar?,0
https://observablehq.com/d/3219ba596e39def0,91,Which country has the highest number of hHouseholds that practice fallowing in their fields?,0
https://observablehq.com/d/3219ba596e39def0,92,What is the 5th most highest grown crop in Malawi?,0
https://observablehq.com/d/3219ba596e39def0,93,What should I click to see the most grown crops in Tanzania?,0
https://observablehq.com/d/3219ba596e39def0,94,I want to compare soil conservation practices between Ethiopia and Ghana only. What action should I do?,0
https://observablehq.com/d/3219ba596e39def0,95,"Does the ""Soil Conservation Practices"" view affect the ""Crops Most Commonly Grown"" view?",0
https://observablehq.com/d/0a4f80329c243889,96,What was India’s cotton production value in 2017?,0
https://observablehq.com/d/0a4f80329c243889,97,Which country had the highest percentage of exports throughout all the years from 2000 to 2018?,0
https://observablehq.com/d/0a4f80329c243889,98,Where do you click to change the chart from Production to Imports?,0
https://observablehq.com/d/0a4f80329c243889,99,"If the chart is showing Imports, which countries appear in the legend and the 2017 bar chart?",0
https://observablehq.com/d/0a4f80329c243889,100,What happens if you hover over one of the lines or bars? Does the chart show a tooltip or extra value label?,0
https://observablehq.com/d/3098f13198ef0232,101,What is the Open Space that is colored green?,0
https://observablehq.com/d/3098f13198ef0232,102,What are the 3 Boroughs that has the largest Play Space?,0
https://observablehq.com/d/3098f13198ef0232,103,"After clicking an Open Space to see the boroughs, how do you get back to the view of Open Spaces?",0
https://observablehq.com/d/3098f13198ef0232,104,Which borough has the smallest Bowling spaces?,0
https://observablehq.com/d/3098f13198ef0232,105,What is size (value) of Newham's Cemetery space? No units needed,0
https://observablehq.com/d/38bdda2b7caf6e02,106,Can you click or hover on the graphs?,0
https://observablehq.com/d/38bdda2b7caf6e02,107,What is the most common age for men and women to be married?,0
https://observablehq.com/d/38bdda2b7caf6e02,108,"How many men get married at the age of 54? Round to the nearest multiple of 10,000.",0
https://observablehq.com/d/38bdda2b7caf6e02,109,How would I change the chart to view the ages of newlyweds with a Bachelor's Degree only?,0
https://observablehq.com/d/38bdda2b7caf6e02,110,Compare the number of male and female newlyweds. Which is larger?,0
https://observablehq.com/d/e70b572f85764265,111,"In South Africa, what is the maximum number of flights at a given time?",0
https://observablehq.com/d/e70b572f85764265,112,"What is the flight number of the flight in Costa Rica, at 1am on the 4th of September?",0
https://observablehq.com/d/e70b572f85764265,113,"Around 1:40 am on 4 September, there are a few airplanes flying across the Atlantic Ocean near Europe. What is the flight number of the airplane flying from France?",0
https://observablehq.com/d/e70b572f85764265,114,What does the slider do?,0
https://observablehq.com/d/e70b572f85764265,115,"In certain areas, for example in the United States, there are many flights near other, to the point where we can't see each flight individually. What action would a user do to see each flight and their locations clearly?",0
https://observablehq.com/@yonsei-university/earthquake-spikes,116,"What is the magnitude of the earthquake that happened in Sobral, Brazil?",0
https://observablehq.com/@yonsei-university/earthquake-spikes,117,How many earthquakes happened in the Tonga Islands?,0
https://observablehq.com/@yonsei-university/earthquake-spikes,118,What happens if you use the scroll wheel in this chart?,0
https://observablehq.com/@yonsei-university/earthquake-spikes,119,"If I use the search bar, how does the chart highlight the searched regions?",0
https://observablehq.com/@yonsei-university/earthquake-spikes,120,What is the average magnitude of the earthquakes of the South Sandwich Islands?,0
https://observablehq.com/@yonsei-university/fifa-ranking,121,"On the first day of 2018, how many points did Argentina have?",0
https://observablehq.com/@yonsei-university/fifa-ranking,122,"In 2022, on what date did Brazil overtake Belgium to claim first place?",0
https://observablehq.com/@yonsei-university/fifa-ranking,123,"Starting from the earliest date possible in this chart, how many days did Argentina take to get to first place for the first time?",0
https://observablehq.com/@yonsei-university/fifa-ranking,124,What does the button to the left of the bar do?,0
https://observablehq.com/@yonsei-university/fifa-ranking,125,"How many days or months do the small intervals of the bar represent, approximately?",0
https://observablehq.com/d/6e96a3d9f17cec90,126,What is the average United States median home value across the full ZHVI period shown?,0
https://observablehq.com/d/6e96a3d9f17cec90,127,What can be inferred when Inventory decreases while ZHVI increases after 2013?,0
https://observablehq.com/d/6e96a3d9f17cec90,128,What is the average ZRI across the whole period shown?,0
https://observablehq.com/d/6e96a3d9f17cec90,129,Why might ZRI rise steadily after 2012?,0
https://observablehq.com/d/6e96a3d9f17cec90,130,What is the average number of homes for sale across the Inventory period?,0
https://observablehq.com/@n93986/cannabis-exposure,131,"In April 2022, how many CBD cases were recorded?",0
https://observablehq.com/@n93986/cannabis-exposure,132,"Across the whole chart period, which category had more total cases?",0
https://observablehq.com/@n93986/cannabis-exposure,133,"In March 2019, which was higher: CBD cases or Synthetic Cannabinoid cases?",0
https://observablehq.com/@n93986/us-gdp,134,"How do we only see data for ""Consumption"" as the only contributions to the US GDP?",0
https://observablehq.com/@n93986/us-gdp,135,What was the average Real GDP growth across all quarters shown from 2021 to 2025?,0
https://observablehq.com/@n93986/us-gdp,136,What happens when user only see Investment contribution in the chart?,0
https://observablehq.com/@n93986/us-gdp,137,"Across all quarters shown, which component had the highest average contribution among Investment, Net exports, and Government spending?",0
https://observablehq.com/@n93986/us-gdp,138,Compare Jul-22 and Jan-25. How did Investment and Net exports affect GDP differently in these two quarters?,0
https://observablehq.com/@n93986/chelsea-transfer-fee,139,How much did Tottenham spent on transfers in summer 2023?,0
https://observablehq.com/@n93986/chelsea-transfer-fee,140,Which team spent more on sumemr 2023 transfers? Manchester City or Manchester United?,0
https://observablehq.com/@n93986/chelsea-transfer-fee,141,Is Chelsea’s spending higher than Arsenal and Manchester City combined?,0
https://observablehq.com/@n93986/chelsea-transfer-fee,142,"How can a user find the fee for an individual Chelsea player, and what happens when they do this?",0
https://observablehq.com/@n93986/chelsea-transfer-fee,143,How can we get the transfer fee for Cunha?,0
https://observablehq.com/@n93986/premier-league-managers,144,How can we see all Everton managers and current managers?,0
https://observablehq.com/@n93986/premier-league-managers,145,Which club has more current managers? Aston Villa or Sunderland?,0
https://observablehq.com/@n93986/premier-league-managers,146,What can a large club bubble suggest about a club’s managerial history?,0
https://observablehq.com/@n93986/premier-league-managers,147,"How can a user show historical manager nodes, and what happens when they do this?",0
https://observablehq.com/@n93986/premier-league-managers,148,How can a user find the current manager connected to a specific club?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,149,What is the lowest share price?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,150,What was the average share price across the whole period shown?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,151,What overall trend does the share price show from January to October 2025?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,152,What might it suggest when the share price reaches a new high on the same day as record trading volume?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,153,How can a user retrieve the exact trading volume for a specific date or bar?,0
https://observablehq.com/@n93986/health-data-bar-1,154,"In 2015, how many Hacking/IT Incident cases were recorded?",0
https://observablehq.com/@n93986/health-data-bar-1,155,"Across all years shown, which breach type had the highest total number of incidents?",0
https://observablehq.com/@n93986/health-data-bar-1,156,What was the total number of breach incidents across all breach types in 2019?,0
https://observablehq.com/@n93986/health-data-bar-1,157,What percentage of all 2019 incidents were Hacking/IT Incident?,0
https://observablehq.com/@n93986/health-data-bar-1,158,How can a user retrieve all breach-type values for one specific year?,0
https://observablehq.com/@n93986/data-health-bar-2,159,What is the total number of data breaches across all causes shown in the chart?,0
https://observablehq.com/@n93986/data-health-bar-2,160,"What is the combined total and percentage share of the top three causes: Hacking/IT Incident, Theft, and Unauthorized Access?",0
https://observablehq.com/@n93986/data-health-bar-2,161,What is the percentage for the cause: Improper Disposal that causes data breaching?,0
https://observablehq.com/@yonsei-university/popup-customise,162,"What were the election results of Solihull in 2019? Give the results of the Conservative party, Labour party, and Liberal Democrat party.",0
https://observablehq.com/@yonsei-university/popup-customise,163,Were the candidates in North Tyneside different between 2017 and 2019? Who were they?,0
https://observablehq.com/@yonsei-university/popup-customise,164,"I don't know where my constituency is on the map, but I know the name. To know where my constituency is and the election results of my constituency, what button should I click?",0
https://observablehq.com/@yonsei-university/popup-customise,165,Where do I click to switch the results between 2 years?,0
https://observablehq.com/@yonsei-university/popup-customise,166,"When I hover on a constituency, I can't see all the candidates. What should I do to see all the names and portraits of the candidates?",0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,167,What is the share price in January 2025?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,168,How can I get the exact trading volume for April 2025?,0
https://observablehq.com/@n93986/share-price-hits-new-high-amid-record-trading-volu,169,What information would I get if I hover over both the price line and volume bar for the same month?,0
https://observablehq.com/@n93986/marketing-spend-by-channel,170,"Between Television and Email, which had higher spending in 2024?",0
https://observablehq.com/@n93986/marketing-spend-by-channel,171,How can I get the data for Print media in 2014 from the chart?,0
https://observablehq.com/@n93986/marketing-spend-by-channel,172,What happens if I hover across the Social media area from 2014 to 2024?,0
https://observablehq.com/@n93986/social-media-influence-on-mental-health,173,Which response category appears most stable over time for All adults?,0
https://observablehq.com/@n93986/social-media-influence-on-mental-health,174,How can I check whether Positive or Negative is higher for 30–44 in Jan 2023?,0
https://observablehq.com/@n93986/social-media-influence-on-mental-health,175,What happens if I click the 18–29 age-group tab?,0
https://observablehq.com/@n93986/the-pursuit-of-happiness,176,What is the happiness score of Malaysia in 2024?,0
https://observablehq.com/@n93986/the-pursuit-of-happiness,177,How can I find Japan’s happiness score in 2014?,0
https://observablehq.com/@n93986/the-pursuit-of-happiness,178,What happens if I click several countries with different trends at the same time?,0
https://observablehq.com/@yonsei-university/which-regions-walk-the-least,179,Which region appears to walk more: Putney or Blackburn?,0
https://observablehq.com/@yonsei-university/which-regions-walk-the-least,180,How can I get the 2022 walking percentage for Slough from the chart?,0
https://observablehq.com/@yonsei-university/which-regions-walk-the-least,181,What happens if I hover over different color regions one by one?,0
https://observablehq.com/d/6cdd365acbb8c4c3,182,Does Syria show an increasing or decreasing trend across the years?,0
https://observablehq.com/d/6cdd365acbb8c4c3,183,How can I use the line chart to get Iraq’s value for a certain year?,0
https://observablehq.com/d/6cdd365acbb8c4c3,184,What happens if I click the play button on the timeline?,0
https://observablehq.com/d/a7f11c936e3895fb,185,Which country has the highest number of internally displaced people due to conflict in 2024?,0
https://observablehq.com/d/a7f11c936e3895fb,186,How can I get the data value for Sudan in 2024 from this chart?,0
https://observablehq.com/d/a7f11c936e3895fb,187,What happens if I hover over a bar in the bar chart?,0
https://observablehq.com/d/08a3126ef4627c80,188,Which country has a higher relative increase in male height: South Korea or Japan?,0
https://observablehq.com/d/08a3126ef4627c80,189,How can I find the percentage value for Japan using the map?,0
https://observablehq.com/d/08a3126ef4627c80,190,What happens if I hover over South Korea on the map?,0
https://observablehq.com/d/6187ecada738db22,191,"Did Irion, TX have a net gain or net loss relationship with Coke, TX?",0
https://observablehq.com/d/6187ecada738db22,192,"How can I find all the paths of people moving in and out of Lincoln, ID?",0
https://observablehq.com/d/6187ecada738db22,193,What happens if I scroll upwards or downwards on this map,0
https://observablehq.com/d/90b85d6c1bb838c5,194,What patterns can be observed globally in the share of people reporting lifetime anxiety or depression?,0
https://observablehq.com/d/90b85d6c1bb838c5,195,How can I get the percentage of people reporting lifetime anxiety or depression for Malaysia?,0
https://observablehq.com/d/90b85d6c1bb838c5,196,What information is displayed in the tooltip when I hover over a country or bar?,0
https://drive.google.com/file/d/1ph_LRrz8A8gMdSFAnef5Vf6GdXxXqsTA/view?usp=share_link,197,,0
https://drive.google.com/file/d/1ph_LRrz8A8gMdSFAnef5Vf6GdXxXqsTA/view?usp=share_link,198,how can i get the chart visual of this?,0
https://drive.google.com/file/d/1ph_LRrz8A8gMdSFAnef5Vf6GdXxXqsTA/view?usp=share_link,199,,0
https://observablehq.com/@d3/zoomable-sunburst,200,Which category takes up the largest area in the chart?,0
https://observablehq.com/@d3/zoomable-sunburst,201,How can I get the value of the analytic category?,0
https://observablehq.com/@d3/zoomable-sunburst,202,What happens if I click the center circle after zooming into a category?,0
https://observablehq.com/@fyp4/world-cup-2022-circle,203,Which club has the most World Cup 2022 players?,0
https://observablehq.com/@fyp4/world-cup-2022-circle,204,How can I get the player count for Manchester City?,0
https://observablehq.com/@fyp4/world-cup-2022-circle,205,What happens if I click on a country circle like Spain?,0
https://observablehq.com/d/5de35404b35deed8,206,What is the main root node shown in the chart?,0
https://observablehq.com/d/5de35404b35deed8,207,How can I get to the MaxFlowMinCut in the chart?,0
https://observablehq.com/d/5de35404b35deed8,208,What happens if i click the anime node?,0
https://observablehq.com/d/32528cae2454960c,209,What subcategories are inside analytics?,0
https://observablehq.com/d/32528cae2454960c,210,How can I retrieve deeper data in the tree?,0
https://observablehq.com/d/32528cae2454960c,211,What happens if I click a leaf node like Easing or TextSprite?,0
https://observablehq.com/d/c9165614abc3c34d,212,What is the value of ColorPalette under util ? palette?,0
https://observablehq.com/d/c9165614abc3c34d,213,How can I get the data inside the interpolate branch?,0
https://observablehq.com/d/c9165614abc3c34d,214,What happens if I click an already expanded category circle?,0
https://observablehq.com/@yonsei-university/trade-chokepoints,215,Which chokepoint has the highest total vessel count?,0
https://observablehq.com/@yonsei-university/trade-chokepoints,216,How can I get the total vessel count for Malacca Strait?,0
https://observablehq.com/@yonsei-university/trade-chokepoints,217,How can I get the total vessel count for Malacca Strait?,0
https://observablehq.com/@yonsei-university/swimming-race,218,,0
https://observablehq.com/@yonsei-university/swimming-race,219,can't open this chart,0
https://observablehq.com/@yonsei-university/swimming-race,220,,0
https://observablehq.com/@yonsei-university/year-to-date,221,,0
https://observablehq.com/@yonsei-university/year-to-date,222,can't open this chart,0
https://observablehq.com/@yonsei-university/year-to-date,223,,0
https://observablehq.com/@yonsei-university/bears-will-be-boys,224,Which animal appears the most in the chart?,0
https://observablehq.com/@yonsei-university/bears-will-be-boys,225,How can I get the pronoun breakdown for rabbits?,0
https://observablehq.com/@yonsei-university/bears-will-be-boys,226,What happens if I change the pronoun dropdown?,0
https://observablehq.com/d/28125329d1b3962c,227,How does Malaysia compare with the United Kingdom?,0
https://observablehq.com/d/28125329d1b3962c,228,How can I get the data for the highest country?,0
https://observablehq.com/d/28125329d1b3962c,229,What happens if I move my mouse away from a country?,0
https://observablehq.com/d/0d51678ebd9e4868,230,What does the gap between age dependency and higher participation suggest for the UK in 2060?,0
https://observablehq.com/d/0d51678ebd9e4868,231,How can I get the UK dependency ratio trend over time?,0
https://observablehq.com/d/0d51678ebd9e4868,232,What happens if I hover over a colored country on the map?,0
https://observablehq.com/d/b483888d6fc93721,233,Which country has the highest percentage in the dataset?,0
https://observablehq.com/d/b483888d6fc93721,234,How can I get the exact percentage for South Korea?,0
https://observablehq.com/d/b483888d6fc93721,235,What happens if I click the Bar button?,0
https://observablehq.com/d/5fe3a3feff69b81e,236,How does Iceland compare with Hungary?,0
https://observablehq.com/d/5fe3a3feff69b81e,237,How can I read the meaning of the map colors?,0
https://observablehq.com/d/5fe3a3feff69b81e,238,What happens if I hover over a country on the map?,0
https://observablehq.com/d/36b39a284fa96a78,239,Why might countries with higher values be important to study further?,0
https://observablehq.com/d/36b39a284fa96a78,240,How can I get the discomfort percentage for a specific country like Japan?,0
https://observablehq.com/d/36b39a284fa96a78,241,What happens if I hover over a bar in the bar chart?,0
https://observablehq.com/d/11df2922faad3446,242,What does the darker pink/purple color on the map mean?,0
https://observablehq.com/d/11df2922faad3446,243,How can I get the data for Malta?,0
https://observablehq.com/d/11df2922faad3446,244,What happens if I click the “Map” button?,0
https://observablehq.com/d/c1b1219353b490bc,245,How does Andorra compare with Afghanistan in psychiatrist availability?,0
https://observablehq.com/d/c1b1219353b490bc,246,How can I get the psychiatrist value for Afghanistan?,0
https://observablehq.com/d/c1b1219353b490bc,247,What happens if I hover over a dark blue country?,0
https://observablehq.com/d/f0d053d6c2a9cafd,248,What overall pattern can be seen among South American countries?,0
https://observablehq.com/d/f0d053d6c2a9cafd,249,How can I get the percentage for Malaysia?,0
https://observablehq.com/d/f0d053d6c2a9cafd,250,What happens if I hover over Peru on the map?,0
https://observablehq.com/d/fa5ba9840d12cf5a,251,What percentage of people in South Korea said it is extremely important?,0
https://observablehq.com/d/fa5ba9840d12cf5a,252,How can I get the exact percentage for Malaysia in the chart?,0
https://observablehq.com/d/fa5ba9840d12cf5a,253,What happens if I hover over the South Korea bar in Bar view?,0
https://observablehq.com/d/589e6865378cd7d6,254,How does the United States’ status compare between 2014 and 2016?,0
