chart_id,link,title,safe title,javascript file,data files,question_id,question,golden_answer,enabled
9,https://observablehq.com/d/ad06c98b232deab5,Geography of Educational Attainment in California,geography_of_educational_attainment_in_california,geography_of_educational_attainment_in_california.js,files/762b06bdc00b4c99e2ecf1319e658c9f778a28bb99802c0cf96a34e471d717a87ee3a262cec3444a948d239e15cbda271d7870952793714b22b98c58f7102e47.csv,20,Which county has an unusually high percentage compared to others?,Marin,1
10,https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv,21,How many Mid-level jobs require Power BI?,198 jobs,1
10,https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv,22,Is Senior Tableau demand higher than Senior Power BI demand?,"No, senior Power BI is the one in demand higher",1
10,https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv,23,Which seniority level contributes the largest total demand across all skills?,Mid level contributes the largest total demand,1
10,https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv,24,How can I retrieve the exact distinct job count for Mid-level Azure positions?,"By hovering on top of the yellow bar at the Azure skill, can be able to retrieve the exact distinct job count",1
10,https://observablehq.com/d/456e2c8beae6ca2a,Finland Tech Job Market Top Skill Demand Tracker 2024-2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026,finland_tech_job_market_top_skill_demand_tracker_2024_2026.js,files/bc901d7579bac239b8dda28d27725ce749b832eda17d245ff0f1fa05a885db9642398384dc982af21a897d3fc3810472f9937b57592b67626db91b879088d335.csv,25,"If I click or hover on the Junior Tableau segment, what data becomes visible?","The information on Junior Tableau will showed, Skill: Tableau, Seniority: Junior and Distinct Job Count: 45",1
11,https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv,26,What is the AI adoption percentage for Spain?,57.46%,1
11,https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv,27,"Between Netherlands and Finland, which country has a higher digital skills percentage?",Netherlands has 3% higher digital skills percentage than Finland,1
11,https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv,28,Which countries appear to have strong digital skills but lower AI adoption?,"Netherlands, Ireland, Denmark, Finland, Norway, and Sweden appear to have strong digital skills but lower AI adoption",1
11,https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv,29,How can I get the digital skills trend of a specific country from 2021 to 2025?,"Click “Digital Skills Trend by Population” to open the trend chart, then hover over the data points or country line for the country you want to check",1
11,https://observablehq.com/d/01c45e5b545d634b,AI Adoption and Digital Skills:evidence of a potential mismatch in 2021-2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025,ai_adoption_and_digital_skillsevidence_of_a_potential_mismatch_in_2021_2025.js,files/95d032deed4e5ff390745bb84185c17fde8b15a50b89abbc966f79ccf1621107d8306e182868abb64e5686593c6f3e82949c457a203c84bf7f498994d9833c9f.csv; files/eceb0e4dfaec117dbc7c65fec7c20a7898d19544ae24fd3ee9f091cfc79357606964564dc1b64f0b2756193d94e39c4f7552a0863dba872ecfeb2184a57f9b76.csv,30,What happens if I click “Digital Skills Trend by Population”?,"It will switches the dashboard to the second page, which shows the digital skills trend from 2021 to 2025 for all countries.",1
12,https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv,31,What is the total booking value for Mini in May 2024?,11 bookings,1
12,https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv,32,"In June 2024, which vehicle type has higher total bookings, Mini or Premium?",Premium with 7 bookings higher than Mini,1
12,https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv,33,How does the Premium revenue trend change over time?,"Premium revenue fluctuates a lot from 2024 to 2025.It peaks around Nov 2024 and has another high point in Feb 2025, then drops strongly in Nov 2025 before rising again in Dec 2025.",1
12,https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv,34,How can I find the exact revenue value for Mini in July 2025?,"Click the Total Revenue tab, look at the Mini chart on the left, then hover over the Jul 2025 point. The tooltip shows the exact value, which is 7,266.",1
12,https://observablehq.com/d/d5d39f0d9ccdf508,"Uber Usage Trends in Pakistan: Bookings and Revenue, 2024–2025",uber_usage_trends_in_pakistan_bookings_and_revenue_20242025,uber_usage_trends_in_pakistan_bookings_and_revenue_20242025.js,files/2b56d5e7521181130acba24be49cdfad0edc0a8c464572fdcfe8c88a19b4580b2b55c518d0124fa1d9e970ffbc2e4afce8ead36206c4a63443dbcf4503af8f07.csv; files/ea1d154c8c153c64469697d8025cd49be857bdd3051b2d58fe2f3967829c3db2f8a7444ab15876d6b7f84a95afa0f3fbc7f7303ebb174a7f2ecaf313be3ecb74.csv,35,What information is displayed when I hover over a point in the Premium revenue chart?,"A tooltip appears showing the vehicle type Premium, the selected month, and the exact Total Revenue value for that point.",1
13,https://observablehq.com/d/939918b55e6a5108,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv,36,What was the approximate price per byte of Disk in 1980?,580M Dollar/Byte,1
13,https://observablehq.com/d/939918b55e6a5108,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv,37,"In 2005, which was cheaper: Memory or Disk?","Disk was cheaper. In 2005, Memory was about 100,943 $/TB, while Disk was about 538 $/TB.",1
13,https://observablehq.com/d/939918b55e6a5108,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv,38,What overall trend can be observed in the prices of computer memory and storage from 1957 to 2020?,The prices dropped dramatically over time. All technologies became much cheaper,1
13,https://observablehq.com/d/939918b55e6a5108,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv,39,How can I get the exact price data of Memory in 2010 from this chart?,Hover over the Memory line near the year 2010 to see the exact year and price value in the tooltip.,1
13,https://observablehq.com/d/939918b55e6a5108,Historical price of computer memory and storage,untitled,untitled.js,files/38df7d46e1744fcd320e148533b158cc30b339e4de6e4eae8b659de03da2e6ea54fb9788cdf8c161e2b28ec384bd8f40dc8dd4006a56f376a03e869c49588cab.csv,40,"If I click on the Bar button at the top, how will the chart change?","The chart will switch from a line chart to a bar chart, showing the same memory and storage price data as bars instead of connected lines.",1
14,https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv,41,What was the number of active mobile money accounts in Sub-Saharan Africa in 2024?,"430,034,750 active mobile money accounts, or about 430 million.",1
14,https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv,42,Which region had more active mobile money accounts in 2022: East Asia and Pacific or South Asia?,"East Asia and Pacific had more. East Asia and Pacific: 124,215,224. South Asia: 116,046,140",1
14,https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv,43,What overall trend can be observed in active mobile money accounts from 2010 to 2024?,Active mobile money accounts increased strongly over time. with Sub-Saharan Africa contributing the largest share by 2024.,1
14,https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv,44,How can I find the exact value of active mobile money accounts for Sub-Saharan Africa in 2024 from this chart?,"Hover over the blue Sub-Saharan Africa area at the year 2024, or check the dataset row where the region is Sub-Saharan Africa and the year is 2024.",1
14,https://observablehq.com/d/64887ee832929930,Mobile Money Accounts,mobile_money_accounts,mobile_money_accounts.js,files/2c7592d9a17176b60dcf0bf63bca5260150e83819ac69b354d5eb9a845bee7becce958843b5e1f4699394705f9fabafcb059cafadc4e5b8230ab5ad938dc581c.csv,45,What happens if I click or drag the timeline slider at the bottom of the chart?,"The chart changes to show the selected year or time range. Dragging the slider lets you move through the years from 2010 to 2024, so you can see how mobile money accounts changed over time.",1
15,https://observablehq.com/d/6760acab97435487,Internet,internet,internet.js,files/c256f9c32d377a2292e1a55c0c2d9ba7ecb2ec5720de1e3225767a13c5a4d38290ff09fba4c20d17c86ac7707f8ce7cbdfb9a6ef89c96b5ac67bd452216cc7d0.csv,46,What percentage of people in Australia own a mobile phone?,Around 94.6% of people in Australia own a mobile phone.,1
15,https://observablehq.com/d/6760acab97435487,Internet,internet,internet.js,files/c256f9c32d377a2292e1a55c0c2d9ba7ecb2ec5720de1e3225767a13c5a4d38290ff09fba4c20d17c86ac7707f8ce7cbdfb9a6ef89c96b5ac67bd452216cc7d0.csv,47,How can I get the data of Mexico’s mobile phone ownership from this map?,"Hover your mouse over Mexico on the map. A tooltip appears showing the country name, year, and value. For Mexico, it shows 81.4% for 2023, because 2024 data is not available.",1
15,https://observablehq.com/d/6760acab97435487,Internet,internet,internet.js,files/c256f9c32d377a2292e1a55c0c2d9ba7ecb2ec5720de1e3225767a13c5a4d38290ff09fba4c20d17c86ac7707f8ce7cbdfb9a6ef89c96b5ac67bd452216cc7d0.csv,48,What happens if I hover over a country with a darker blue color?,"A tooltip appears with the country’s exact mobile phone ownership percentage. Darker blue usually means a higher percentage, closer to the 90–100% range.",1
16,https://observablehq.com/d/fdbb3d8a0cd4bd58,Medicine,medicine,medicine.js,files/638350ffe4b7e405984bb25ef7d82c1a53ffb2d89b0d91763c99eff4b55e8b221dc6c232ca921f3c595987b9da7f14b60c7e2458febfca4107fbcd0616c636bb.csv,49,Which region generally shows higher values: North America or Southeast Asia?,"North America generally shows higher values, with countries like Canada at 73.0%, while Southeast Asian countries such as Malaysia are lower at 27.1%.",1
16,https://observablehq.com/d/fdbb3d8a0cd4bd58,Medicine,medicine,medicine.js,files/638350ffe4b7e405984bb25ef7d82c1a53ffb2d89b0d91763c99eff4b55e8b221dc6c232ca921f3c595987b9da7f14b60c7e2458febfca4107fbcd0616c636bb.csv,50,How can I get the exact data value for Canada from this chart?,"Hover over Canada on the map, or click the Bar button and find Canada in the bar chart to see its exact value: 73.0%.",1
16,https://observablehq.com/d/fdbb3d8a0cd4bd58,Medicine,medicine,medicine.js,files/638350ffe4b7e405984bb25ef7d82c1a53ffb2d89b0d91763c99eff4b55e8b221dc6c232ca921f3c595987b9da7f14b60c7e2458febfca4107fbcd0616c636bb.csv,51,What happens if I hover over Canada on the map?,"Canada becomes highlighted, and a tooltip appears showing Canada, 2020, and 73.0%.",1
17,https://observablehq.com/d/1edfdbd0a0cf213a,UCR Violent Crime,ucr_violent_crime,ucr_violent_crime.js,files/36d221125c8b5a54c049d8d2baf2cf92ce4b69e788f1d89fd3b400f8907d1c66106162deb2634bcdd41f28d38fc892c419568be771265e0f5d343c9cf83c3404.csv,52,Around which year did Harris County reach its highest reported violent crime count?,"Harris County reached its highest reported violent crime count around 2009, with about 8,439 reported violent crimes.",1
17,https://observablehq.com/d/1edfdbd0a0cf213a,UCR Violent Crime,ucr_violent_crime,ucr_violent_crime.js,files/36d221125c8b5a54c049d8d2baf2cf92ce4b69e788f1d89fd3b400f8907d1c66106162deb2634bcdd41f28d38fc892c419568be771265e0f5d343c9cf83c3404.csv,53,How can I find the reported violent crime count for each sheriff department in 2008?,"To find the reported violent crime count for each sheriff department in 2008, set the Year filter to 2008 and keep Sheriff department = All. Then hover over each colored line or point for that year.",1
17,https://observablehq.com/d/1edfdbd0a0cf213a,UCR Violent Crime,ucr_violent_crime,ucr_violent_crime.js,files/36d221125c8b5a54c049d8d2baf2cf92ce4b69e788f1d89fd3b400f8907d1c66106162deb2634bcdd41f28d38fc892c419568be771265e0f5d343c9cf83c3404.csv,54,What happens if I change the Sheriff department filter from “All” to “Harris County”?,"If you change the Sheriff department filter from “All” to “Harris County,” the chart will show only the Harris County crime trend. The other department lines will disappear, making Harris County easier to inspect without the smaller lines crowding the chart.",1
18,https://observablehq.com/d/598fb95f4893d856,Stroke statistics - leading cause of death,stroke_statistics_leading_cause_of_death,stroke_statistics_leading_cause_of_death.js,files/2f7dfcb8230fce7ea2304ecd061a59156f1310aebfb3c6efe2e1c7a7a25047fd698597978dd528de8d3566301e1ed209b31e15242af6611c7444f88219ec8e03.csv; files/86765bea67e280167fa5bdaaccfec6bd5412b428b7a3270a4c87e959fc45da9acbc853f9e54e387bd3253ae7e3bac3f727e7752e97a93d4d5b82fcf33b9cade7.csv,55,What is the rank of cerebrovascular diseases in the chart of UK on 2018?,"Cerebrovascular diseases ranked 4th in the UK in 2018, with 35,960 deaths.",1
18,https://observablehq.com/d/598fb95f4893d856,Stroke statistics - leading cause of death,stroke_statistics_leading_cause_of_death,stroke_statistics_leading_cause_of_death.js,files/2f7dfcb8230fce7ea2304ecd061a59156f1310aebfb3c6efe2e1c7a7a25047fd698597978dd528de8d3566301e1ed209b31e15242af6611c7444f88219ec8e03.csv; files/86765bea67e280167fa5bdaaccfec6bd5412b428b7a3270a4c87e959fc45da9acbc853f9e54e387bd3253ae7e3bac3f727e7752e97a93d4d5b82fcf33b9cade7.csv,56,How can I get the rank and death count of influenza and pneumonia for Scotland?,"Select Scotland from the Nation dropdown, then look for the Influenza and pneumonia bar. For Scotland, it is ranked 6th, with 2,031 deaths.",1
